200000
2 76805
1 129708 87529
1 21002 128076
1 109321 183938
1 15161 28699
2 191110
1 63140 174324
1 186130 123904
1 95137 14846
1 55005 44166
1 151751 77020
1 98254 164173
1 6034 39668
1 157218 140592
1 123702 156070
1 61958 190124
1 115933 55915
1 171121 43676
1 195300 43181
1 84035 27569
1 123732 80934
1 70300 177397
1 85278 159740
1 46526 69057
1 111833 196828
1 179366 172476
1 74495 140565
1 32616 180694
1 130278 15287
1 155466 83524
1 192059 155692
2 92962
1 196607 49092
1 186936 190963
1 84168 44567
1 84616 160324
1 1985 136918
1 156052 84866
1 194588 18925
1 165293 155800
1 47033 49741
1 193726 25677
1 71693 86442
1 27785 100702
1 80948 13491
1 124958 164381
2 160211
1 127800 47901
1 106537 100082
1 125895 159981
1 173937 172185
1 31612 49852
1 199291 197289
1 134887 57017
1 133891 3901
1 32129 526
1 23895 62529
1 169930 89699
1 84049 60882
1 197926 146576
1 78486 189784
1 100025 15073
1 196432 37344
1 165056 46928
1 126440 85309
1 59187 173119
2 94983
1 105729 47257
2 14632
1 195510 151987
1 78168 185885
1 126595 77161
1 155570 97976
1 148028 163721
1 153440 76755
1 152042 49657
1 50646 102656
1 22780 144860
1 84956 21220
1 108461 168977
1 61634 143636
1 168727 112809
1 70117 174254
1 11926 50023
1 21543 17530
1 40097 150334
1 26091 185729
1 164069 109959
1 86543 84653
1 173731 61952
1 146158 163426
1 20492 131596
1 198805 23324
1 101722 94887
2 14084
1 25963 36658
1 51818 124521
1 199166 76152
1 38944 101464
1 195167 111218
1 196821 153167
1 130148 105760
1 7698 138472
1 133462 184859
1 118642 88606
1 152306 58797
1 6641 74756
1 55137 12272
2 136466
1 82419 98420
1 138316 94134
1 127865 77090
2 52019
1 7870 113705
1 159256 87981
1 79505 39092
1 35116 39090
1 173026 76663
1 80109 49830
1 174472 113423
1 171805 109208
2 40343
1 48884 193554
1 189193 56924
1 88578 175118
1 90591 32665
2 155441
1 86979 50247
1 76141 89237
1 2406 78056
1 192011 24255
1 164651 11871
1 67669 90751
1 104069 167709
1 96018 195422
1 177587 123587
1 40297 75226
1 141436 98619
1 134850 64420
1 65518 184794
1 100062 157144
1 137943 75828
1 51384 168572
2 30340
1 130824 152220
1 70083 33849
1 19217 120071
1 52151 49
1 128751 199616
2 17820
2 184058
1 38518 162476
1 55045 26466
1 34587 189096
1 131900 81966
1 179392 182459
1 97508 183963
1 48114 103389
1 94790 80136
1 181972 174092
1 72326 176085
1 85886 40975
1 169509 11260
1 176213 76331
1 93559 124335
1 101164 30822
1 173536 48115
1 125530 1275
1 44310 155900
1 44636 183070
1 36562 54282
2 80941
1 50901 168407
1 17367 106979
1 46711 5799
1 120442 75277
1 68404 19010
1 26999 61195
1 77312 158690
1 182652 69742
1 86195 96180
1 91457 165201
1 106660 12824
1 61188 51958
1 140998 29596
1 80324 137572
1 32771 53364
1 43068 156736
1 140567 153213
1 164002 148842
1 169455 146099
1 160032 164507
1 36802 9008
2 179600
1 7575 163055
1 47397 36478
1 110211 124440
1 15888 38297
2 37780
1 63159 163926
1 196930 110843
1 171344 82047
