200000
2 8949
2 106047
1 111050 75
1 78459 81223
1 121758 199744
1 133207 193620
1 17572 15857
1 135832 36417
1 98837 185143
1 73853 63372
1 100115 140422
1 133449 188190
1 61740 60703
1 158379 159768
1 179757 98551
1 193328 121824
2 52395
2 31979
1 23532 44961
2 13205
1 158422 21263
1 187615 50338
2 133980
1 122502 55059
1 59945 190565
1 114330 104407
1 4335 788
1 116891 15454
1 115371 188973
1 76868 147178
1 197775 38723
2 29383
1 83527 32178
1 68959 2799
1 104869 197332
2 100406
1 153831 150487
1 32794 170574
2 134144
1 182721 35580
1 39606 26045
1 48663 26385
1 162655 94464
1 32860 132062
1 51260 10380
1 71457 138407
1 32555 35668
1 36079 33123
1 129630 114569
1 147339 145439
1 167301 675
1 127113 72049
2 187577
2 153130
1 12191 3421
1 44185 132784
1 157393 69470
1 100604 7839
2 75317
1 194876 77224
1 54304 66353
2 69880
1 195244 86427
1 163073 122240
1 126571 20428
1 60449 135047
1 34925 121581
2 46322
1 175906 138385
1 141658 156096
1 131259 123492
1 164798 135635
1 119811 109964
1 119346 85820
1 97765 32758
1 92583 199455
1 69670 130945
1 100903 79937
1 158635 59308
1 18810 87828
1 166158 4157
1 1434 131649
1 171874 35124
1 106266 87221
1 152516 70511
1 104914 123951
1 149733 99294
1 31501 8584
1 199254 98026
1 18806 30020
1 197907 28130
1 158081 56216
1 45522 59494
1 20822 187644
1 120205 64791
1 93379 59315
1 111694 5118
1 78306 168920
1 198138 44476
1 153288 143338
1 150177 133874
1 174703 119963
1 40581 189105
1 44838 29526
1 130089 76196
1 166647 66063
1 112604 93692
1 160793 188239
1 70085 129053
1 169368 50367
1 52017 71879
1 196737 155573
1 98010 23239
1 145810 184701
1 59514 2270
1 85409 68009
1 197969 104242
1 13259 183068
1 101810 183540
1 111520 20051
1 92693 192913
1 88524 199732
1 98776 58269
1 98377 85596
1 155287 187388
1 154243 194211
1 173166 107346
1 23372 48562
1 8139 80750
1 126594 187785
1 18233 15154
1 148349 156874
1 100138 53638
1 92861 114313
1 7237 152894
1 100242 104215
1 107377 88521
1 75405 24717
1 111072 67227
2 155752
1 61374 82847
1 125916 142257
1 119875 197724
1 114729 70012
1 174755 145849
1 78979 131274
1 53723 198928
1 69343 106676
1 80614 8903
1 76538 12124
1 159340 164822
1 147693 57558
1 198374 53014
1 134259 1682
1 94293 125324
1 113593 144397
1 103524 59382
2 69861
1 12269 192858
1 28382 123626
1 182401 53124
1 47866 8458
2 187060
1 131030 36177
1 187678 192271
1 61822 17935
2 7810
1 119609 100796
1 51760 9155
1 165943 168795
1 197034 25459
2 136013
1 87186 67691
2 149427
1 151923 199552
1 80499 166274
1 178030 131214
2 133036
1 82875 3306
1 3318 12866
1 149858 194468
1 191338 36628
1 197607 131496
1 22802 89350
1 4661 169167
1 52522 164465
1 52427 137625
1 46290 105609
1 187947 132526
1 43802 75918
1 195783 26223
1 109518 169335
1 162024 186498
1 195523 183643
1 27745 105949
1 33312 139746
1 28019 83602
1 106160 43564
1 67010 117532
1 189479 97280
1 167160 91177
1 77746 56
1 147448 62632
1 172356 12266
1 117126 16788
1 61342 27865
1 79092 23937
1 179806 47773
2 62160
1 160313 134539
1 77932 191180
1 63308 199200
1 86158 177006
1 89167 146135
2 84267
1 20018 117106
2 175624
1 138074 121247
1 169505 47855
1 188695 6815
2 7831
1 122179 117430
1 16414 36430
2 52716
1 112898 91414
1 18429 164839
1 115445 16037
1 23073 194119
1 50225 123430
2 147171
1 128105 189100
1 82998 169382
1 44067 130692
2 36060
2 93312
1 93964 45543
1 64049 4369
1 278 94400
1 165297 105411
1 147971 166857
1 112828 169391
1 163018 181173
1 132783 32590
1 57157 29845
1 93416 85766
1 53826 72455
1 54259 78195
1 119048 90075
2 14264
1 143066 34919
1 181740 80482
1 145500 176325
1 113298 22099
1 8972 142183
1 1027 66822
1 145524 122492
1 156244 168964
1 145741 67696
1 96411 55179
1 32042 63471
1 151604 196220
1 100322 171703
1 168208 86404
1 162499 10468
1 184511 69388
1 199605 4342
1 13887 108261
1 94828 114661
2 55557
1 106635 170066
2 141334
2 27591
1 49396 63041
1 192026 117627
1 92395 181965
2 31321
1 5016 45966
1 85154 63575
1 169102 58390
2 35390
1 36716 47602
1 164375 158767
1 69436 98251
1 8455 133102
1 195925 184685
1 106690 51265
1 56602 149068
1 171761 83305
1 90317 165825
1 57961 118157
1 137018 119643
1 150584 78247
2 88546
1 115101 91311
1 189388 7594
1 120008 140528
1 26089 33413
1 182913 103546
1 45450 129055
2 135927
1 105469 183312
1 196160 140896
1 68868 193366
1 48068 91499
1 8824 82487
1 184122 199849
1 60001 49060
1 113669 102327
1 124922 87780
1 49123 85295
2 65182
1 43125 84740
1 126755 102640
2 20773
1 195754 51940
1 59116 175117
2 122510
1 122730 114878
1 31303 199221
2 77271
1 150086 36299
1 16893 159193
1 3908 91631
1 121796 39514
1 131691 83684
1 97434 2326
1 91713 145694
1 26165 165195
1 197229 156380
1 79387 113565
1 44582 49334
1 172334 155080
2 83998
1 173609 42489
1 102224 125546
1 73808 86330
1 193664 70005
1 131661 198576
1 191530 135334
1 92914 54183
1 194463 178639
1 120035 27457
1 3406 66071
1 30844 98182
1 149132 78250
1 128321 303
1 51300 4831
2 83974
1 153647 139171
1 45828 185760
1 113210 64861
1 32980 188491
1 127374 111556
1 188841 142173
1 130229 154282
1 70695 103339
1 42782 58324
1 48611 142393
1 102090 56962
1 118325 150312
1 30712 22331
1 49152 151003
1 74834 126750
1 157503 17898
1 116056 133159
1 166610 65995
1 123598 74814
1 68169 198845
1 176866 133702
1 156080 77879
1 144288 77731
1 29915 69776
